UPTIMENANO,Ax,Ay,Az
128772816555612,-0.38444263,-0.25761732,9.850986
128772836414690,-0.92447644,-0.60465485,10.491691
128772856270179,-1.5506606,-1.1651411,11.38523
128772876125666,-1.294002,-0.98557657,11.658057
128772895981282,-0.69930923,-0.3180072,11.159739
128772915836771,-0.31264907,-0.296032,10.738768
128772935692258,-0.75724655,-1.1206561,11.035769
128772955542766,-0.96375126,-1.617305,11.501167
128772975398255,-0.5454754,-0.86081135,10.488323
128772995253614,-0.2760607,0.3801582,9.052655
128773015109102,-0.0731542,0.9825423,8.578447
128773034964591,0.23377612,0.26837003,9.168036
128773054811990,0.9375181,-0.93828636,9.718598
128773074667350,2.4195182,-0.37406293,8.566577
128773094522711,0.12694524,0.18959166,7.853014
128773114378070,-4.6403117,0.12823275,6.4635153
128773134232869,-2.1761403,-0.5476304,7.1499696
128773154088230,0.03726455,0.5465374,8.23846
128773173943717,0.76493317,0.47082937,9.381336
128773193799077,0.4388735,0.09403888,10.00936
128773213654438,0.35944337,-0.32204616,9.546184
128773233509797,-0.54518336,-0.31809035,9.134388
128773253354929,-0.75442904,-0.16652435,9.42426
128773273210162,-0.2753444,-0.0972444,9.981449
128773293065393,-1.0983634,-1.0562927,10.847564
128773312920625,-2.0515983,-2.6941674,12.263288
128773332775858,-2.532512,-2.4380784,11.480474
128773352624964,-0.62881184,1.8561349,8.776845
128773372480068,1.6128459,2.1560345,10.604855
128773392335045,0.24623708,-0.990439,13.67653
128773412190148,-1.7334933,-2.641459,13.60343
128773432045252,-0.50086415,-1.6495568,12.576711
128773451900357,-0.12405068,-0.89827496,11.438755
128773471758253,0.6519852,0.038461294,10.152389
128773491613357,0.70026976,0.5063666,9.679699
128773511468462,-1.4840378,-0.8682848,10.545131
128773531323565,-2.3808792,-2.1733997,10.755469
128773551163571,-1.1708825,-1.9462208,11.367764
128773571018292,0.9902967,-1.4089512,12.418439
128773590872883,1.6713042,0.43216962,10.41853
128773610727475,0.9642059,1.5253766,8.954825
128773630582196,0.49155563,2.1636221,8.760489
128773650435544,-0.1629242,1.6523992,8.66176
128773670290008,0.28119624,2.1192975,8.414092
128773690144601,1.013971,2.09134,9.167894
128773709999192,0.9990776,1.0015587,8.407438
128773729853656,-0.57266355,0.86881167,7.0685863
128773749708249,-0.74460757,3.3366954,6.793178
128773769560312,0.26784793,2.322917,7.2797747
128773789414776,-1.0939819,2.5738583,7.914883
128773809269241,0.8861309,2.6262963,8.458495
128773829123704,-0.70365894,1.0091255,9.438021
128773848975864,-0.91128975,0.431918,9.920382
128773868830329,-0.52738583,0.68956727,10.269295
128773888684664,-0.5197628,0.6984128,10.707458
128773908539128,-1.769622,0.16316034,10.568111
128773928393465,-1.646035,0.94422084,10.105544
128773948247928,-1.1859108,0.987219,10.302529
128773968106554,-1.5254165,0.019572714,10.301053
128773987961147,-2.50208,0.22526617,10.073112
128774007815610,-2.918174,-0.3493811,10.568734
128774027670074,-2.4013445,-1.8160056,11.745567
128774047524539,-1.5435357,-3.3178844,11.709232
128774067379581,-1.4938085,-4.2489433,11.462472
128774087234045,-1.4518571,-5.545657,10.833492
128774107088510,-1.2219418,-6.2814317,9.9179735
128774126943101,-1.2291179,-5.7075768,9.307045
128774146807740,-1.4913658,-5.2047906,8.7929
128774166662461,-1.3269465,-4.404755,8.351152
128774186517180,-0.5331435,-2.6496046,8.242662
128774206371900,1.319258,-1.2294319,8.013632
128774226226621,2.8500893,-0.58496684,8.127947
128774246081212,2.7808905,-0.23323502,8.520526
128774265932256,2.9389582,0.5937613,8.326809
128774285786849,3.3940506,1.5241913,8.167239
128774305641568,2.5967696,1.6662879,8.439665
128774325496160,1.5385164,1.3831894,7.6978974
128774345350881,-0.9237794,2.0747845,3.129845
128774365206941,1.4863019,5.1204057,10.07534
128774385061661,1.1407679,4.2807417,8.662111
128774404916382,0.20792761,2.3457415,6.98192
128774424771101,1.2575732,2.2001565,9.90076
128774444634659,-1.0630126,-0.08141989,10.419977
128774464489636,-0.030369978,-0.24678485,9.85414
128774484344611,1.8743026,1.684189,6.9488254
128774504199587,0.90966034,1.9904999,8.0464525
128774524054564,-0.16118419,0.2385972,11.347616
128774543909539,-0.4861423,-0.6940957,11.02137
128774563766988,-0.36272407,0.40226525,12.581729
128774583621965,0.16112354,0.69410163,13.692907
128774603476940,0.8762198,2.270474,13.453297
128774623332044,2.4787707,2.0624177,12.8538475
128774643187021,3.7867737,0.8378407,12.005567
128774663037900,4.952759,0.8861405,11.712327
128774682892748,6.1709023,2.0173428,12.020052
128774702747725,6.034374,2.4810963,12.223768
128774722602572,4.2245255,1.5086551,10.856004
128774742457548,2.712253,0.30028918,8.8467455
128774762312397,1.9837459,-0.8300368,7.8862753
128774782170371,-3.318768,-5.717235,4.628322
128774802025347,-16.227331,-13.980541,-2.4500072
128774821880324,0.9890961,1.2340639,6.8633437
128774841735299,13.0893135,5.345687,11.7957
128774861592805,6.4067936,1.1453106,10.64476
128774881447782,-4.578314,2.51478,7.5815916
128774901302757,-2.8432324,4.997503,8.72326
128774921157733,-1.3044261,1.6641206,3.157291
128774941012710,-0.7453613,2.2341368,1.1955707
128774960862324,-0.80843467,3.6648886,2.083921
128774980717172,0.41922995,3.1274683,1.0592493
128775000572149,2.0228424,2.7533069,0.95215803
128775020426996,2.557654,2.691197,1.3160741
