UPTIMENANO,Ax,Ay,Az
128772775033869,-0.74058527,-1.0517343,1.3307042
128772795033870,-0.60208184,-0.43210036,0.44856942
128772815033869,-0.38662258,-0.24178576,0.07052173
128772835033869,-0.8609998,-0.5050566,0.65048456
128772855033870,-1.4859043,-0.9549566,1.5424675
128772875033869,-1.3255824,-0.95104843,1.8382641
128772895033869,-0.7718122,-0.369153,1.3733305
128772915033869,-0.46447378,-0.2672524,0.9399662
128772935033870,-0.98197204,-1.0245457,1.2071915
128772955033869,-1.1227006,-1.612831,1.666497
128772975033869,-0.8733496,-0.96503675,0.65222514
128772995033870,-0.5015951,0.18869007,-0.74230087
128773015033869,-0.15177628,0.89279556,-1.2179705
128773035033869,0.13485624,0.1562644,-0.6321491
128773055033869,0.87377745,-0.8877901,-0.08926205
128773075033869,2.2527533,-0.33348542,-1.2184057
128773095033869,-0.2714441,0.116761,-1.9909818
128773115033869,-4.838179,-0.13533165,-3.5281894
128773135033869,-2.388339,-0.6969655,-2.7235405
128773155033869,-0.42134658,0.3103667,-1.513907
128773175033869,0.3823435,0.44379142,-0.3683564
128773195033869,0.008077968,0.11051621,0.18295239
128773215033869,-0.29163867,-0.29900214,-0.28625557
128773235033869,-0.8530573,-0.3229566,-0.67301756
128773255033869,-0.86987275,-0.1567545,-0.34825686
128773275033869,-0.48485112,-0.14195819,0.25046566
128773295033869,-1.1720186,-1.12711,1.1925784
128773315033869,-2.2034268,-2.6622686,2.356534
128773335033869,-2.7073867,-2.1905015,1.2317332
128773355033869,-1.0453947,1.5043836,-0.7963368
128773375033869,0.5064111,1.4590975,1.3174487
128773395033869,-0.9285802,-1.335472,3.835584
128773415033869,-1.252837,-2.316219,3.7161934
128773435033869,-0.24714091,-1.6262504,2.592816
128773455033869,0.21809685,-0.96120924,1.411523
128773475033869,0.83800805,-0.0055353013,0.25440314
128773495033869,0.6549392,0.32553712,0.0039465283
128773515033869,-0.9985061,-0.9086633,0.8688317
128773535033869,-1.2595316,-1.8976127,1.2521852
128773555033869,0.16942436,-1.2972584,1.8623619
128773575033869,2.0212998,-0.4147988,2.1462843
128773595033869,1.6545331,0.50190353,0.2927419
128773615033869,0.911752,1.3572565,-0.8471246
128773635033869,0.4488186,1.7125229,-0.9996254
128773655033869,0.0678914,1.6191143,-1.1752748
128773675033869,0.6252229,2.0051775,-1.1973554
128773695033869,1.2118801,1.6694566,-0.81919503
128773715033869,0.70884186,0.81138426,-1.732464
128773735033869,-0.5000891,1.2925601,-2.7566133
128773755033869,-0.36934695,2.7940385,-2.7535288
128773775033869,-0.07021293,2.2496624,-2.3086207
128773795033869,-0.4725661,2.5008523,-1.7064682
128773815033869,0.5291011,2.1311321,-1.0621514
128773835033869,-0.6242426,0.9149556,-0.2226521
128773855033869,-0.56965816,0.62499803,0.22897275
