UPTIMENANO,Mx,My,Mz
128772776844764,7.1083984,29.964725,-24.84164
128772796700125,7.558399,29.964725,-24.84164
128772816555612,7.8583984,29.964725,-24.84164
128772836414690,8.008396,30.114727,-24.84164
128772856270179,8.458397,30.264725,-25.141644
128772876125666,9.658398,30.564724,-25.291641
128772895981282,11.908398,31.014725,-25.741642
128772915836771,12.358398,31.764725,-25.891644
128772935692258,12.358398,32.514725,-26.791641
128772955542766,13.558399,34.164726,-27.391644
128772975398255,13.258396,33.864727,-27.09164
128772995253614,13.108398,34.614727,-26.941643
128773015109102,13.258396,34.914726,-26.941643
128773034964591,13.558399,35.214725,-26.941643
128773054811990,14.008396,35.214725,-26.791641
128773074667350,14.008396,35.214725,-26.491642
128773094522711,14.008396,35.214725,-26.491642
128773114378070,14.008396,35.214725,-24.09164
128773134232869,14.008396,35.214725,-25.141644
128773154088230,14.008396,35.214725,-25.141644
128773173943717,13.858398,35.214725,-25.141644
128773193799077,13.558399,34.914726,-25.141644
128773213654438,12.808399,33.714725,-25.141644
128773233509797,12.958397,34.164726,-25.141644
128773253354929,12.508396,34.464725,-25.141644
128773273210162,12.508396,34.614727,-25.141644
128773293065393,12.358398,34.614727,-25.141644
128773312920625,12.508396,34.614727,-25.141644
128773332775858,12.508396,34.614727,-25.141644
128773352624964,12.808399,35.214725,-25.141644
128773372480068,12.958397,35.814724,-25.141644
128773392335045,12.958397,36.414726,-25.291641
128773412190148,13.558399,36.714725,-26.041641
128773432045252,14.458397,36.714725,-25.891644
128773451900357,15.058399,36.714725,-26.041641
128773471758253,17.3084,36.714725,-26.491642
128773491613357,17.3084,36.714725,-26.491642
128773511468462,17.908398,36.714725,-27.09164
128773531323565,20.008398,36.114727,-27.391644
128773551163571,22.258398,35.814724,-27.391644
128773571018292,25.408398,35.214725,-27.691643
128773590872883,24.808397,34.614727,-28.591644
128773610727475,24.208399,34.614727,-29.041641
128773630582196,24.358398,34.314724,-29.191643
128773650435544,24.358398,34.164726,-29.041641
128773670290008,24.508398,34.164726,-29.041641
128773690144601,24.808397,33.714725,-29.041641
128773709999192,24.808397,33.114727,-29.041641
128773729853656,24.508398,32.064724,-29.041641
128773749708249,24.508398,31.614727,-29.041641
128773769560312,24.808397,31.614727,-29.041641
128773789414776,24.808397,31.614727,-29.041641
128773809269241,24.958399,31.014725,-29.041641
128773829123704,24.958399,30.564724,-29.191643
128773848975864,24.958399,30.414726,-29.191643
128773868830329,25.408398,30.114727,-29.191643
128773888684664,26.458399,29.514725,-29.191643
128773908539128,26.458399,29.064724,-29.191643
128773928393465,27.208399,27.414724,-29.191643
128773948247928,27.208399,26.514725,-29.191643
128773968106554,27.508398,23.664724,-29.341644
128773987961147,28.108398,22.914724,-29.341644
128774007815610,29.3084,23.964725,-29.941643
128774027670074,30.358398,24.414724,-30.691643
128774047524539,30.358398,24.714725,-30.991646
128774067379581,31.858398,24.714725,-31.291641
128774087234045,33.5084,25.014725,-31.291641
128774107088510,33.5084,25.914724,-31.441643
128774126943101,33.658398,27.714725,-30.991646
128774146807740,34.1084,30.414726,-30.991646
128774166662461,34.1084,30.414726,-30.991646
128774186517180,34.708397,31.164726,-30.991646
128774206371900,35.7584,31.614727,-30.841644
128774226226621,35.7584,32.064724,-30.841644
128774246081212,35.7584,32.214725,-30.39164
128774265932256,35.908398,32.514725,-28.741646
128774285786849,36.0584,32.514725,-29.041641
128774305641568,36.3584,32.664726,-29.041641
128774325496160,36.958397,32.664726,-29.191643
128774345350881,37.1084,32.664726,-29.191643
128774365206941,37.1084,32.664726,-29.191643
128774385061661,37.2584,32.664726,-29.191643
128774404916382,38.458397,32.664726,-29.191643
128774424771101,38.3084,32.664726,-29.191643
128774444634659,37.5584,32.664726,-29.341644
128774464489636,37.5584,32.664726,-29.341644
128774484344611,37.5584,33.114727,-29.791641
128774504199587,37.5584,33.714725,-30.241646
128774524054564,37.2584,36.414726,-31.441643
128774543910188,36.3584,40.764725,-30.991646
128774563766988,34.8584,41.064724,-30.841644
128774583621965,34.708397,41.964725,-30.841644
128774603476940,33.8084,42.564724,-30.841644
128774623332044,32.7584,43.914726,-30.841644
128774643187021,32.908398,44.364727,-30.841644
128774663037900,32.6084,45.564728,-29.941643
128774682892748,31.858398,45.864727,-28.14164
128774702747725,31.858398,45.414726,-28.591644
128774722602572,31.408398,45.264725,-28.591644
128774742457548,31.258398,45.264725,-28.591644
128774762312397,30.658398,45.264725,-28.591644
128774782170371,30.208399,45.264725,-28.591644
128774802025347,27.658398,45.264725,-28.591644
128774821880324,26.008398,45.864727,-28.591644
128774841735299,24.208399,46.764725,-28.591644
128774861592805,22.558397,49.614727,-27.991646
128774881447782,19.858398,53.214725,-26.34164
128774901302757,16.5584,54.864727,-24.84164
128774921157733,14.158398,54.414726,-21.84164
128774941012710,14.158398,55.014725,-17.641644
128774960862324,13.408398,55.164726,-16.291641
128774980717172,11.158398,55.164726,-15.84164
128775000572149,8.908398,55.164726,-10.291641
128775020426996,6.058399,55.014725,-10.741642
128775040281844,2.458397,54.414726,-8.64164
128775060136821,-0.091602325,53.214725,-6.8416405
128775079952252,-3.2416039,51.564728,-5.3416405
128775099806460,-9.391602,45.264725,-2.3416405
128775119660669,-12.391602,33.264725,-0.09164047
128775139514876,-13.591602,28.914726,0.20835876
128775159374669,-12.991604,24.714725,0.80835724
128775179229006,-13.291603,20.814726,0.80835724
128775199083213,-13.141602,18.264725,0.80835724
128775218937421,-13.141602,13.614725,1.7083588
128775238791758,-13.141602,10.914724,2.4583588
128775258643469,-12.841602,8.364724,3.2083588
128775278497677,-11.791603,5.6647243,3.3583603
128775298351886,-9.841602,3.1147242,5.00836
128775318206093,-8.041603,2.6647243,7.1083584
128775338060301,-3.2416039,0.56472397,11.458359
