UPTIMENANO,Ax,Ay,Az
128772816555612,-2.562671,4.7469287,8.255632
128772836414690,-3.295547,4.761299,8.818462
128772856270179,-4.184099,4.742139,9.663904
128772876125666,-4.018843,4.8594947,9.939331
128772895981282,-3.1997461,5.132527,9.410032
128772915836771,-2.7327175,4.9241605,9.153765
128772935692258,-3.3793726,4.394861,9.637559
128772955542766,-3.5805542,4.1218286,10.296189
128772975398255,-2.799778,4.253555,9.2256155
128772995253614,-1.8154249,4.608018,7.592212
128773015109102,-1.1352394,4.9864306,6.957532
128773034964591,-1.1208692,4.605623,7.8556643
128773054811990,-0.76161623,3.784131,9.017249
128773074667350,0.98435307,3.439248,8.159832
128773094522711,-0.9316626,3.9853127,6.706055
128773114378070,-5.1947975,4.133804,4.387676
128773134232869,-2.9770093,3.5110989,5.9133034
128773154088230,-0.66342044,4.493057,6.8952613
128773173943717,0.34009278,4.9361353,8.020921
128773193799077,0.07424561,4.984036,8.691526
128773213654438,-0.1101709,4.4259963,8.471185
128773233509797,-0.5939649,4.3182206,8.052056
128773253354929,-0.5484595,4.608018,8.238868
128773273210162,-0.05748047,4.8044095,8.753797
128773293065393,-0.92926764,4.598438,9.898616
128773312920625,-2.2824538,4.1098537,11.821816
128773332775858,-2.699187,4.0811133,10.9644
128773352624964,0.3281177,5.865403,6.809041
128773372480068,2.9985645,6.4042826,8.349038
128773392335045,1.0178833,5.6785917,12.442127
128773412190148,-0.14370118,4.9002104,13.076807
128773432045252,1.0011182,4.6750784,11.759546
128773451900357,1.4034815,4.631968,10.403965
128773471758253,2.1148024,4.6199927,8.813672
128773491613357,2.2656887,4.840335,8.116721
128773511468462,-0.11496094,5.0367265,9.422008
128773531323565,-1.7627344,4.5409575,10.116563
128773551163571,-0.9388477,4.5529323,10.619517
128773571018292,1.3292359,4.629573,11.5751295
128773590872883,1.6669337,4.622388,9.347761
128773610727475,1.463357,5.1061816,7.431746
128773630582196,1.3651612,5.7001467,6.878496
128773650435544,0.64186525,5.7480474,6.6581545
128773670290008,1.2525953,5.877378,6.2653713
128773690144601,1.8800904,5.951624,7.1060233
128773709999192,1.2406201,4.89542,6.8689165
128773729853656,-0.19160157,4.766089,5.319339
128773749708249,0.87897223,6.485713,3.8727467
128773769560312,1.2621753,5.7767873,4.84752
128773789414776,0.23231691,6.940767,4.7157936
128773809269241,1.9639161,6.5168486,5.736072
128773829123704,-0.2562671,6.6916847,6.7635355
128773848975864,-0.8143067,6.6677346,7.3694754
128773868830329,-0.36164796,6.9072366,7.6401124
128773888684664,-0.62989014,7.180269,7.965835
128773908539128,-2.0860622,7.2497244,7.6113725
128773928393465,-1.5352076,7.4580913,6.9096317
128773948247928,-1.3819263,7.6161623,6.9719024
128773968106554,-2.4093897,7.197034,7.1299734
128773987961147,-3.0728102,7.5467067,6.4330225
128774007815610,-4.1864944,7.661668,6.6413894
128774027670074,-5.120552,7.060518,8.423284
128774047524539,-5.3025737,5.702542,9.479487
128774067379581,-6.334827,4.018843,9.766891
128774087234045,-7.199429,2.2369483,9.663904
128774107088510,-7.185059,1.096919,9.299861
128774126943101,-7.074888,0.43110353,8.394544
128774146807740,-6.9168167,0.34967285,7.6592727
128774166662461,-6.212681,0.7376661,7.194639
128774186517180,-4.8594947,1.2693604,7.072493
128774206371900,-2.6584718,1.583108,7.6089773
128774226226621,-1.1903248,1.6381935,8.392149
128774246081212,-1.0298585,1.7771046,8.727451
128774265932256,-0.24189699,2.189048,8.571775
128774285786849,0.6586304,2.7231374,8.52627
128774305641568,0.42870852,3.0344899,8.447234
128774325496160,-0.098195806,3.0129347,7.3790555
128774345350881,-0.3544629,3.1925611,2.1531227
128774365206941,2.0046315,6.945557,8.813672
128774385061661,1.7914747,5.848638,7.565867
128774404916382,0.2203418,4.24158,6.0210795
128774424771101,0.96040285,4.1864944,9.273516
128774444634659,-2.0980372,3.8487966,9.513018
128774464489636,-1.3747413,2.926714,9.311836
128774484344611,1.7723145,1.8848804,6.9240017
128774504199587,1.2861255,2.7686427,7.7598634
128774524054564,-0.9699829,2.938689,10.921289
128774543909539,-1.5926881,1.695674,10.806329
128774563766988,-0.93405765,2.2345533,12.358301
128774583621965,-0.42152345,2.3016138,13.510305
128774603476940,0.86220706,2.1171973,13.479171
128774623332044,2.076482,0.60594,13.074412
128774643187021,2.5004005,-1.1735597,12.310401
128774663037900,3.8152664,-2.4069948,11.922408
128774682892748,5.5875807,-2.4572902,12.221786
128774702747725,5.7312818,-2.0094216,12.4541025
128774722602572,3.7218604,-2.0285816,10.95482
128774742457548,1.9136207,-2.0285816,8.828042
128774762312397,0.72569096,-2.4572902,7.7622585
128774782170371,-6.143225,-3.180586,4.1553593
128774802025347,-21.22227,-2.0285816,-3.2069314
128774821880324,1.331631,-0.15567628,6.9144216
128774841735299,14.259947,-4.6966333,10.660233
128774861592805,6.70845,-5.1756372,9.158555
128774881447782,-1.6717237,2.663262,8.653206
128774901302757,1.7579445,2.0501368,10.092612
128774921157733,0.39278322,0.6011499,3.7314405
128774941012710,0.7807764,1.6334034,1.9232007
128774960862324,1.9088306,2.2561085,3.1135256
128774980717172,2.3495142,1.8274,1.4897022
128775000572149,3.3626075,1.0298585,0.45984375
128775020426996,3.8320315,0.88376224,0.22513184
128775040281844,4.6774735,0.56522465,-0.09101075
128775060136821,7.790999,-0.79993653,-1.2549903
128775079952252,11.393108,-1.7363893,-1.6717237
128775099806460,13.213324,-2.560276,-0.6825806
128775119660669,15.172449,-3.4775686,0.34967285
128775139514876,18.35543,-3.5063088,1.4801221
128775159374669,22.225782,-3.2692018,0.07185059
128775179229006,23.71788,-3.173401,-1.3004956
128775199083213,23.437662,-3.8224514,0.32332766
128775218937421,21.205503,-3.6907253,2.323169
128775238791758,19.411634,-2.2608986,2.8692336
128775258643469,18.482367,-1.4130616,2.548301
128775278497677,17.268091,-0.68737066,2.562671
128775298351886,16.40828,0.21315674,2.565066
128775318206093,15.031143,0.92208254,1.9016455
128775338060301,13.32589,-0.098195806,0.79754156
128775357914382,9.287886,2.2680836,7.436536
128775377772984,9.038804,5.149292,6.861731
128775397627192,10.346485,5.3552637,2.574646
128775417481273,12.722344,5.7983427,-3.9350173
128775437335480,12.602593,4.7397437,-6.456973
128775457197362,13.225299,2.440525,-4.387676
128775477051699,9.216036,3.2859669,1.1999048
128775496906034,6.947952,1.3771362,-1.8130299
128775516760242,7.4892263,0.20597169,-4.0978785
128775536614579,7.4269557,0.34009278,-2.7830129
128775556468914,6.8425713,-0.2706372,-3.1350808
128775576331747,6.1743608,-0.8669971,-3.8655617
128775596186212,6.1480155,-2.9794044,-5.997129
128775616040675,4.792434,-3.04886,-3.1350808
128775635895139,2.9794044,-2.2561085,-0.6682105
128775655749604,2.0213966,-1.9663111,0.17483643
128775675605530,2.938689,-1.3771362,0.14130616
128775695459994,5.343289,-1.2094849,-0.21076173
128775715314331,6.943162,-0.61073,-0.6490503
128775735168794,8.480764,-1.092129,-0.119750984
128775755031895,9.105865,-0.17962648,0.9651929
128775774886616,11.407478,-0.45984375,1.695674
128775794741335,11.941567,-0.92926764,2.066902
128775814595927,10.324929,0.21794678,1.2046949
128775834450648,11.132051,1.7315992,2.318379
128775854305367,11.752361,1.4753321,2.8093581
128775874163092,12.648099,0.6490503,2.8931837
128775894017813,16.99985,-1.7890797,2.5938063
128775913872404,18.970951,-2.4069948,-1.2693604
128775933727124,15.682589,0.9915381,-2.3662794
128775953581845,13.539046,4.687053,-4.033213
128775973446048,14.350958,2.7830129,-4.5864625
128775993300896,12.492422,4.1218286,-7.6592727
128776013155873,4.7876444,8.073611,4.634363
128776033010720,10.123748,5.52052,8.909473
128776052866080,4.174519,3.027305,3.1255007
128776072721057,3.9374123,-0.17723145,5.5253105
128776092576032,9.388477,-0.8669971,5.724097
128776112431008,12.82054,0.033530276,4.30385
128776132285985,13.560601,0.19160157,3.5134938
128776152140960,10.559642,-1.6477735,5.5372853
128776171998880,7.8556643,-2.208208,4.888235
128776191853985,2.0166066,3.1973512,6.576724
128776211709088,-0.25866213,5.8198977,7.680828
128776231564192,2.7566676,5.5396805,3.5781593
128776251419297,6.09772,4.775669,-0.6562354
128776271279040,6.8018556,4.3254056,0.3305127
128776291134272,2.574646,3.9541774,4.2248144
128776310989505,4.174519,3.1446607,2.440525
128776330844736,7.2257743,2.6009912,0.5556446
128776350707174,9.877061,2.2441335,1.8369801
128776370562663,9.266331,1.8585353,3.3123121
128776390418150,1.2813355,3.3626075,4.038003
128776410273638,-5.870193,9.407638,4.663103
128776430129127,-8.859178,22.280869,1.3531861
128776449984614,7.7622585,31.07059,-13.915064
128776469846697,13.210928,21.176764,-12.887601
128776489702570,2.2728736,7.4820414,0.043110352
128776509558313,5.8342676,2.7446926,2.430945
128776529414057,6.8593364,3.159031,-1.6381935
128776549269802,3.4584084,6.6653395,-5.3025737
128776569127799,0.62031007,10.174044,-4.8044095
128776588984313,0.2802173,10.502161,-3.666775
