UPTIMENANO,P
128782754616042,1011.1671
128782854219216,1011.1722
128782954982343,1011.1705300000001
128783053456092,1011.17896
128783153272941,1011.1843
128783254768667,1011.1843
128783351685639,1011.18945
128783451227763,1011.19293
128783551655114,1011.1963
128783650189912,1011.2048
128783749487837,1011.2152
128783848785761,1011.2185699999999
128783948724711,1011.2166
128784048449986,1011.21326
128784147931060,1011.2166
128784247625811,1011.20984
128784347015309,1011.2116
128784446496384,1011.2135599999999
128784545977458,1011.2118
128784645244857,1011.2116
128784744878198,1011.2116
128784844542423,1011.21454
128784944298222,1011.21454
128785043870873,1011.21295
128785143535098,1011.2214
128785242924597,1011.21796
128785341673070,1011.21796
128785440909944,1011.21967
128785540207868,1011.2208
128785639475268,1011.2192
128785738925817,1011.22644
128785838651092,1011.23193
128785938254267,1011.22675
128786037918492,1011.2218
128786137582717,1011.2234
128786237338518,1011.2302
128786336148039,1011.23865
128786435629114,1011.2472
128786535232288,1011.25055
128786634713363,1011.2556
128786734436512,1011.2624
128786834192311,1011.2658
128786933856536,1011.2708
128787036176439,1011.2705
128787133246036,1011.2739999999999
128787232910261,1011.27936
128787334772287,1011.278
128787430651408,1011.2847
128787530712458,1011.28625
128787633429186,1011.2878400000001
128787730040907,1011.29663
128787829735658,1011.29803
128787930804035,1011.3068
128788029613560,1011.3068
128788129216735,1011.3034
128788230498788,1011.3068
128788328178880,1011.3068
128788427598905,1011.3051
128788527629430,1011.3085
128788626164228,1011.3048
128788725523203,1011.31195
128788825340053,1011.3186599999999
128788924424302,1011.3239
128789023508551,1011.33234
128789122531750,1011.33734
128789222073874,1011.33734
128789321339805,1011.3389999999999
128789420759829,1011.3429
128789519935653,1011.3444
128789619294627,1011.3513
128789719111477,1011.3496
128789818043101,1011.3534
128789917493651,1011.35175
128790016822100,1011.3483
128790116058974,1011.3466
128790215448474,1011.35516
128790315051648,1011.35175
128790414257997,1011.3569
128790513525397,1011.3564
128790612792796,1011.3631
128790712365446,1011.36816
128790811541270,1011.3704
128790911052869,1011.3754
128791010015018,1011.37726
128791109343468,1011.3839999999999
128791208610867,1011.3818
128791308119402,1011.3852
128791407325752,1011.3852
128791506989976,1011.3907
128791606196325,1011.3907
128791705463725,1011.3941
128791804975324,1011.3958
128791904242723,1011.39764
128792003449073,1011.39764
128792102960672,1011.4013
128792202716473,1011.39764
128792301831246,1011.4013
128792401037595,1011.40295
128792500640770,1011.4099
128792600060794,1011.4133
128792699267143,1011.41675
128792798565068,1011.4219
128792898198767,1011.42523
128792997801942,1011.4286
128793097496693,1011.43365
128793197191442,1011.4371
128793296000965,1011.44055
128793395357429,1011.44214
128793494838503,1011.44055
128793594197477,1011.4439
128793693678552,1011.4472699999999
128793793556452,1011.4512
128793893129101,1011.43585
128793992762802,1011.4258
128794093495403,1011.4269400000001
128794192182826,1011.43585
128794291022874,1011.43207
128794391786000,1011.4393
128794489954498,1011.44434
128794589099797,1011.446
128794689710298,1011.44434
128794787878796,1011.4354
128794887543021,1011.42395
128794987420922,1011.4172
128795086871471,1011.42224
128795186566222,1011.4273
128795286260969,1011.4342
128795384736573,1011.43805
128795484309222,1011.4382
128795583759772,1011.44147
128795682935596,1011.4432
128795782660871,1011.4501
128795882264046,1011.4348
128795981897747,1011.42786
128796081623022,1011.4331
128796181226197,1011.4399
128796279883093,1011.43646
128796379272592,1011.4454
128796478906292,1011.4454
128796578326317,1011.4437
128796677532666,1011.451
128796777135840,1011.4425
128796876311664,1011.44745
128796981561970,1011.4437
128797077532666,1011.4454
128797174907513,1011.4454
128797274174912,1011.4437
128797373690175,1011.4454
128797473323876,1011.44574
128797572865999,1011.4487
128797672041823,1011.4504400000001
128797771522898,1011.4454
128797871217647,1011.44574
128797970881872,1011.44574
128798070637673,1011.44745
128798170149272,1011.4441
128798269416671,1011.44745
128798368531445,1011.451
128798468165144,1011.45435
128798567340969,1011.45215
128798666669418,1011.4559300000001
128798766150492,1011.4554400000001
128798865784193,1011.4624
128798965417894,1011.4696
128799067798847,1011.4747
128799164837920,1011.48145
128799264593721,1011.4764
128799366181017,1011.4782
128799462391378,1011.4799
128799561750352,1011.47974
128799664283929,1011.48145
128799760437776,1011.47974
128799859949375,1011.4782
128799961536677,1011.47644
128800059308350,1011.482
128800159033625,1011.4825400000001
128800261445102,1011.4842
128800357476848,1011.4894400000001
128800456683197,1011.49805
128800559094674,1011.505
128800655309570,1011.4997
128800754821170,1011.5013
128800856866347,1011.50305
128800953539119,1011.5068
128801052806518,1011.5101
128801154393820,1011.5118
128801251341317,1011.5085
128801350669766,1011.5015
128801451428111,1011.505
128801549657659,1011.5068
128801648925058,1011.5139999999999
128801749688184,1011.5174
128801848375608,1011.5179400000001
128801947978783,1011.51965
128802047520908,1011.5213
128802147368283,1011.51965
128802246635682,1011.523
128802346605156,1011.5281
128802445384155,1011.5332
128802544346304,1011.5332
128802643583178,1011.5384
128802743186352,1011.5455300000001
128802842911627,1011.5438
128802942453752,1011.5438
128803042148501,1011.5455300000001
128803141843252,1011.54895
128803241660103,1011.5506
128803340194899,1011.5574
128803439767549,1011.5574
128803539213206,1011.5574
128803638694281,1011.56305
128803737931155,1011.55396
128803836832254,1011.5613
128803936740679,1011.56805
128804037106979,1011.56805
128804135763878,1011.5767
128804235275477,1011.5783
128804342693060,1011.58185
128804434329202,1011.58734
128804533596601,1011.58905
128804633169250,1011.5822
128804732864001,1011.5827
128804832528226,1011.59296
128804932741901,1011.59296
128805031826150,1011.59125
128805131520901,1011.5929
128805232589278,1011.58954
128805329964122,1011.5980000000001
128805429292571,1011.5980000000001
128805529842019,1011.60144
128805628132617,1011.61035
128805727338967,1011.61035
128805828498918,1011.6176
128805926270590,1011.6159
128806025995865,1011.6109
128806125873766,1011.61615
128806225446417,1011.61774
128806324133838,1011.6195
128806424408564,1011.62115
128806522912837,1011.6318
128806622271811,1011.6318
128806722485487,1011.6318
128806820959235,1011.63354
128806920592935,1011.63354
128807020165584,1011.6389999999999
128807120043485,1011.6424
128807219677186,1011.6407
128807319127733,1011.64404
128807417845682,1011.64795
128807517541178,1011.6496599999999
128807616900152,1011.65485
128807716228601,1011.6581
128807820715781,1011.6582
128807915251800,1011.6599
128808014549725,1011.66156
128808114000274,1011.665
128808213633974,1011.6778
128808312535073,1011.67566
128808412077197,1011.674
128808511436172,1011.67566
128808611894047,1011.6723
128808711161446,1011.66724
128808810489896,1011.6655
128808910795147,1011.66754
128809010337272,1011.666
128809110032021,1011.6677
128809209757296,1011.66754
128809308353144,1011.6745599999999
128809407528968,1011.6779
128809506945400,1011.6817
128809606670675,1011.6867699999999
128809705815974,1011.6881
128809805113898,1011.6885
128809904381298,1011.6915
128810004014997,1011.69696
128810103099246,1011.7004
128810202488746,1011.7009
128810302152970,1011.7012
128810401359320,1011.7012
128810500748819,1011.7048300000001
128810600596194,1011.7062400000001
128810700290943,1011.7062400000001
128810802122446,1011.71466
128810899619395,1011.71136
128810999375196,1011.7149699999999
128811100382523,1011.71844
128811198856272,1011.72015
128811297360541,1011.71844
128811399344668,1011.7206
128811496261639,1011.7239
128811595712189,1011.7272300000001
128811696110540,1011.73065
128811795042165,1011.7358
128811894675866,1011.74274
128811994614817,1011.7550699999999
128812094095892,1011.75684
128812193821167,1011.7495
128812294309564,1011.7512
128812392111761,1011.7579300000001
128812491409686,1011.7601
128812590768660,1011.76575
128812690219209,1011.7623
128812789883434,1011.7623
128812889547659,1011.76575
128812989181358,1011.7796599999999
128813088906633,1011.7867
128813188540334,1011.77655
128813287319332,1011.7749
128813386525681,1011.7838
128813485854130,1011.7872
128813585243629,1011.7872
