UPTIMENANO,Gx,Gy,Gz
128772776844764,-0.27837217,0.66209954,0.9560021
128772786772445,-0.27997005,0.6402616,0.9618611
128772796700126,-0.3385596,0.6226847,0.9245768
128772806627932,-0.42644393,0.6429248,0.8590631
128772816555613,-0.5356335,0.6615669,0.7940819
128772826483294,-0.65014946,0.61363,0.7557324
128772836414690,-0.71779376,0.5491815,0.76958084
128772846342371,-0.7066085,0.49858144,0.84681255
128772856270180,-0.64695364,0.45969927,0.9762422
128772866197986,-0.5665262,0.41442555,1.1211181
128772876125667,-0.47970715,0.402175,1.2335036
128772886053476,-0.43017235,0.4304045,1.281973
128772895981282,-0.43975973,0.39684868,1.2542762
128772905908963,-0.487164,0.2237432,1.1615982
128772915836772,-0.5356335,-0.053225555,1.0497454
128772925764578,-0.5382967,-0.25669107,0.993819
128772935692259,-0.4738482,-0.31421536,1.0236465
128772945620068,-0.34388593,-0.26947424,1.1323034
128772955542766,-0.15267098,-0.27107215,1.3123331
128772965470447,0.055588234,-0.1267288,1.4843733
128772975398256,0.20259473,0.17314313,1.5653334
128772985325934,0.2617169,0.18059999,1.5637355
128772995253615,0.24254213,0.098042004,1.44123
128773005181424,0.17010416,0.15130521,1.1978172
128773015109102,0.043870326,0.25037482,0.9085979
128773025036783,-0.10792986,0.25037482,0.6406838
128773034964592,-0.18835734,0.1576968,0.4398815
128773044884438,-0.1398878,0.017081901,0.3045929
128773054811991,-0.016317118,-0.23272263,0.16610855
128773064739672,0.10405777,-0.54857355,-0.03735697
128773074667350,0.2350853,-1.1424584,-0.29834676
128773084595031,0.42363712,-1.7938677,-0.4639954
128773094522712,0.61751527,-1.9983984,-0.43043956
128773104450390,0.6111237,-1.7177013,-0.24881196
128773114378071,0.37463495,-1.1898627,0.083017915
128773124305752,0.09447039,-0.94218874,0.3440077
128773134232869,-0.11432145,-0.7834643,0.50486267
128773144160550,-0.23363107,-0.73552746,0.7109913
128773154088231,-0.3497449,-0.67427474,0.83722514
128773164015909,-0.46639135,-0.62314206,0.7850272
128773173943718,-0.49675137,-0.7254074,0.64601016
128773183871399,-0.42005235,-0.90596974,0.50433
