UPTIMENANO,Ax,Ay,Az
128772775033869,-1.165353,-0.22133659,1.4206856
128772795033870,-0.74436086,-0.13356298,0.42251098
128772815033869,-0.42609462,-0.16278863,0.06967012
128772835033869,-1.0567963,-0.09143531,0.5425438
128772855033870,-1.9317924,-0.026330842,1.3291136
128772875033869,-1.857495,0.13851218,1.6035597
128772895033869,-1.1172785,0.42685658,1.0897188
128772915033869,-0.6917249,0.26703528,0.7879753
128772935033870,-1.4195645,-0.20400034,1.1893252
128772955033869,-1.786003,-0.4600488,1.7992887
128772975033869,-1.1854293,-0.37905475,0.7553201
128772995033870,-0.31394148,-0.11467958,-0.85235065
128773015033869,0.2735265,0.19499882,-1.4801118
128773035033869,0.2610767,-0.20077926,-0.57770574
128773055033869,0.5891204,-0.96541446,0.52965844
128773075033869,2.1996255,-1.3072667,-0.35117143
128773095033869,-0.013166075,-0.819234,-1.8384793
128773115033869,-4.3681426,-0.7904147,-4.021069
128773135033869,-2.3291914,-1.3884692,-2.5009232
128773155033869,-0.2509838,-0.3975531,-1.5312524
128773175033869,0.5016057,0.09467571,-0.4671744
128773195033869,0.040622167,0.1791672,0.10954276
128773215033869,-0.37392202,-0.3080285,-0.14730367
128773235033869,-0.9327625,-0.36468044,-0.5309639
128773255033869,-0.8912282,-0.06253684,-0.32300884
128773275033869,-0.49571854,0.12906562,0.23573503
128773295033869,-1.4040186,-0.069862425,1.445717
128773315033869,-2.7683017,-0.5157312,3.0929828
128773335033869,-3.1237798,-0.42654812,1.9249574
128773355033869,-0.66487473,1.1702404,-1.4760253
128773375033869,1.1181332,1.6454071,0.40435344
128773395033869,-0.67493516,1.008103,3.9856791
128773415033869,-1.3945272,0.3020926,4.325344
128773435033869,-0.38105,0.011196255,3.0468242
128773455033869,0.059545953,-0.14854136,1.71414
128773475033869,0.8016881,-0.20446098,0.2872299
128773495033869,0.72485477,0.008145857,-0.09723355
128773515033869,-1.2099819,0.11959871,1.0484234
128773535033869,-1.9912057,-0.23286512,1.654145
128773555033869,-0.49916914,-0.16110945,2.2146893
128773575033869,1.531925,-0.1282195,2.5497081
128773595033869,1.689964,-0.15731063,0.44086182
128773615033869,1.4528376,0.21283375,-1.1113156
128773635033869,1.2196394,0.571457,-1.522938
128773655033869,0.86233413,0.54104125,-1.7236779
128773675033869,1.5431194,0.57444286,-1.7703385
128773695033869,1.890777,0.2793801,-1.1285952
128773715033869,1.0488505,-0.67975,-1.6124779
128773735033869,0.2560136,-0.48539245,-3.0362096
128773755033869,1.1203376,0.4640114,-3.7489371
128773775033869,1.1132482,0.19591616,-3.0195918
128773795033869,0.8904772,0.8807369,-2.7965996
128773815033869,1.5662673,0.62471396,-1.7624916
128773835033869,-0.0519046,0.7432554,-0.84927857
128773855033869,-0.17642339,0.79269946,-0.3287305
128773875033869,0.18641935,1.0099434,-0.002763439
128773895033869,-0.3520272,1.1464607,0.17510106
128773915033869,-1.0031924,1.1347607,-0.17625816
128773935033869,-0.37487677,1.2041392,-0.49681455
128773955033869,-0.42780602,1.1093293,-0.320595
128773975033869,-1.1057636,0.9732688,-0.4306476
128773995033869,-1.6646631,1.360622,-0.85052454
128774015033869,-2.4421263,1.4518833,-0.18960343
128774035033869,-2.8135455,0.8719882,1.1851879
128774055033869,-3.0267444,-0.2961023,1.8220999
128774075033869,-3.735656,-1.7163143,1.8476858
128774095033869,-4.041484,-2.9745557,1.5496236
128774115033869,-3.8120868,-3.6807988,0.8916225
