p,time
1003.4315963650963,82030089539494
1003.429,82030189539494
1003.4281323411476,82030289539494
1003.4273854125528,82030389539494
1003.4332880133344,82030489539494
1003.4352699291874,82030589539494
1003.4350922092503,82030689539494
1003.4389921679596,82030789539494
1003.4425699999999,82030889539494
1003.4420476060212,82030989539494
1003.4398149192018,82031089539494
1003.4381319532267,82031189539494
1003.4377248854704,82031289539494
1003.4324598874052,82031389539494
1003.4315002915247,82031489539494
1003.436,82031589539494
1003.4328105190573,82031689539494
1003.4255491533584,82031789539494
1003.4225772963872,82031889539494
1003.4194168450957,82031989539494
1003.4120529798323,82032089539494
1003.4068407450592,82032189539494
1003.4034186868472,82032289539494
1003.4024,82032389539494
1003.400910841688,82032489539494
1003.3959647687874,82032589539494
1003.3924601857781,82032689539494
1003.3891825538727,82032789539494
1003.3846352290867,82032889539494
1003.388217386124,82032989539494
1003.3934776718178,82033089539494
1003.3899613134979,82033189539494
1003.38586,82033289539494
1003.3860253016096,82033389539494
1003.3842993338756,82033489539494
1003.3827,82033589539494
1003.3837173555439,82033689539494
1003.3835319158267,82033789539494
1003.38076312985,82033889539494
1003.379392870242,82033989539494
1003.3803701358884,82034089539494
1003.3747260638693,82034189539494
1003.370700545275,82034289539494
1003.3719168402215,82034389539494
1003.3736215195676,82034489539494
1003.3731205435347,82034589539494
1003.3702706074956,82034689539494
1003.3703377119487,82034789539494
1003.3685805087317,82034889539494
1003.3627944313972,82034989539494
1003.3583004748587,82035089539494
1003.3536274378497,82035189539494
1003.3500870770384,82035289539494
1003.3467193728203,82035389539494
1003.3449071648656,82035489539494
1003.3381994303346,82035589539494
1003.3347694671993,82035689539494
1003.3343883362547,82035789539494
1003.3304476790677,82035889539494
1003.3254324913601,82035989539494
1003.3175514001424,82036089539494
1003.3171171967376,82036189539494
1003.3191647118969,82036289539494
1003.3182462907242,82036389539494
1003.315150835822,82036489539494
1003.31445,82036589539494
1003.3117555130908,82036689539494
1003.3066102726784,82036789539494
1003.3028005719948,82036889539494
1003.3039132898303,82036989539494
1003.3001750179643,82037089539494
1003.2889649074153,82037189539494
1003.2826177607083,82037289539494
1003.2835377962413,82037389539494
1003.2839,82037489539494
1003.278048059054,82037589539494
1003.2801800602645,82037689539494
1003.2775318931264,82037789539494
1003.2785433448424,82037889539494
1003.2772855699773,82037989539494
1003.2724703399077,82038089539494
1003.2688889380382,82038189539494
1003.2688244609662,82038289539494
1003.2689875097477,82038389539494
1003.2611590610852,82038489539494
1003.2608640651564,82038589539494
1003.2609,82038689539494
1003.2609,82038789539494
1003.258988035974,82038889539494
1003.253925601935,82038989539494
1003.2553737223603,82039089539494
1003.2537794085747,82039189539494
1003.2352860930868,82039289539494
1003.2370438336408,82039389539494
1003.2321178772713,82039489539494
1003.2291004793559,82039589539494
1003.2274233440767,82039689539494
1003.232366421152,82039789539494
1003.2324162712213,82039889539494
1003.2288890322003,82039989539494
1003.2273223667436,82040089539494
1003.2302350508176,82040189539494
1003.2221699999999,82040289539494
1003.2223175198384,82040389539494
1003.2255622057918,82040489539494
1003.2156098867856,82040589539494
1003.2125161816116,82040689539494
1003.210938060178,82040789539494
1003.2071258029256,82040889539494
1003.2039502690996,82040989539494
1003.2003772474858,82041089539494
1003.1973000855149,82041189539494
1003.1969569933716,82041289539494
1003.1906954295944,82041389539494
1003.1879584518213,82041489539494
1003.1772,82041589539494
1003.1772056608736,82041689539494
1003.17683033217,82041789539494
1003.1736020179469,82041889539494
1003.1719660059656,82041989539494
1003.1700129254527,82042089539494
1003.165832077821,82042189539494
1003.1580330076514,82042289539494
1003.1557547415667,82042389539494
1003.158653137276,82042489539494
1003.1578746403006,82042589539494
1003.1522,82042689539494
1003.1525994252366,82042789539494
1003.1543,82042889539494
1003.1525004427942,82042989539494
1003.1458467349195,82043089539494
1003.1454488300074,82043189539494
1003.1412134923539,82043289539494
1003.1347525002942,82043389539494
1003.1283691927009,82043489539494
1003.1199315598396,82043589539494
1003.1184997475447,82043689539494
1003.1167577352568,82043789539494
1003.1145324080583,82043889539494
1003.1125008309973,82043989539494
1003.1115695189276,82044089539494
1003.1053,82044189539494
1003.1064256124016,82044289539494
1003.1087594849976,82044389539494
1003.1084097538447,82044489539494
1003.110369246056,82044589539494
1003.10925,82044689539494
1003.1076718499485,82044789539494
1003.1059727082777,82044889539494
1003.109579341207,82044989539494
1003.1082249502133,82045089539494
1003.1050470775348,82045189539494
1003.1016282579013,82045289539494
1003.0969731390627,82045389539494
1003.0909398674601,82045489539494
1003.0853916042407,82045589539494
1003.0825002684892,82045689539494
1003.0842675933542,82045789539494
1003.0825808165042,82045889539494
1003.08154,82045989539494
1003.0835954141827,82046089539494
1003.0866827652693,82046189539494
1003.0882288526989,82046289539494
1003.0872453936544,82046389539494
1003.0839573766356,82046489539494
1003.0834479023275,82046589539494
1003.0800836853032,82046689539494
1003.075893782245,82046789539494
1003.0683716375104,82046889539494
1003.0644602021363,82046989539494
1003.0623926271373,82047089539494
1003.0562260825436,82047189539494
1003.056312084698,82047289539494
